"Stock","MAE","MRE","MPE","RMSE","MAE_rank","absMAE_rank","absMPE_rank","RMSE_rank","Average_rank","Overall_rank","rel_rank_MAE","rel_rank_absMAE","rel_rank_absMPE","rel_rank_RMSE"
"Birkenhead",0.129522904135288,0.129522904135288,5.18978644934647,0.144899763339566,13,15,15,11,13.5,13,0.30952380952381,0.357142857142857,0.357142857142857,0.261904761904762
"Birkenhead",0.130201426228637,0.129115204260331,5.85536147895574,0.149906297972305,14,14,19,13,15,14,0.333333333333333,0.333333333333333,0.452380952380952,0.30952380952381
"Birkenhead",0.14444701549509,0.14444701549509,3.87285802808659,0.158163051055276,17,17,12,16,15.5,15,0.404761904761905,0.404761904761905,0.285714285714286,0.380952380952381
"Birkenhead",0.134429329152636,0.116350706004384,3.83493428061024,0.185924482272871,15,13,11,24,15.75,16,0.357142857142857,0.30952380952381,0.261904761904762,0.571428571428571
"Birkenhead",0.141229100776425,0.141229100776425,5.62748327813462,0.155894659372922,16,16,17,14,15.75,17,0.380952380952381,0.380952380952381,0.404761904761905,0.333333333333333
"Birkenhead",0.149568532431942,0.149568532431942,5.77376167673091,0.160734886406547,19,19,18,18,18.5,18,0.452380952380952,0.452380952380952,0.428571428571429,0.428571428571429
"Birkenhead",0.146862094998374,0.146862094998374,7.14322183844415,0.159823942462396,18,18,25,17,19.5,19,0.428571428571429,0.428571428571429,0.595238095238095,0.404761904761905
"Birkenhead",0.152111365641142,0.152111365641142,6.4108127649579,0.18226354109481,20,20,21,22,20.75,20,0.476190476190476,0.476190476190476,0.5,0.523809523809524
"Birkenhead",0.161326581315294,0.161326581315294,4.24279060689842,0.184447771044617,24,24,13,23,21,21,0.571428571428571,0.571428571428571,0.30952380952381,0.547619047619048
"Birkenhead",0.15293998515805,0.15293998515805,7.62849260271901,0.165491870130796,21,21,28,19,22.25,22,0.5,0.5,0.666666666666667,0.452380952380952
"Birkenhead",0.156258931163861,0.155022496714694,7.71168662745265,0.170070163702276,22,23,29,21,23.75,23,0.523809523809524,0.547619047619048,0.69047619047619,0.5
"Birkenhead",0.156444318174396,0.154029100153827,7.7737813208337,0.169471788044903,23,22,30,20,23.75,24,0.547619047619048,0.523809523809524,0.714285714285714,0.476190476190476
"Birkenhead",0.172852680510654,0.172852680510654,6.51365891902835,0.19316341097372,26,26,23,27,25.5,26,0.619047619047619,0.619047619047619,0.547619047619048,0.642857142857143
"Birkenhead",0.174109140269642,0.174109140269642,6.87679667787685,0.192142641279189,27,27,24,26,26,27,0.642857142857143,0.642857142857143,0.571428571428571,0.619047619047619
"Birkenhead",0.179452384461803,0.179452384461803,5.23675744137069,0.213138939028693,30,30,16,35,27.75,28,0.714285714285714,0.714285714285714,0.380952380952381,0.833333333333333
"Birkenhead",0.175070874487011,0.175070874487011,8.23692113826488,0.193687973522349,28,28,34,28,29.5,29,0.666666666666667,0.666666666666667,0.80952380952381,0.666666666666667
"Birkenhead",0.178968134053451,0.178968134053451,8.79430080831854,0.194660409304408,29,29,36,29,30.75,30,0.69047619047619,0.69047619047619,0.857142857142857,0.69047619047619
"Birkenhead",0.180751983374749,0.180751983374749,8.57942937789936,0.199614991210531,31,31,35,30,31.75,32,0.738095238095238,0.738095238095238,0.833333333333333,0.714285714285714
"Birkenhead",0.194158216014551,0.194158216014551,7.39289432129508,0.221123745518567,38,38,26,38,35,36,0.904761904761905,0.904761904761905,0.619047619047619,0.904761904761905
"Birkenhead",0.192580450134658,0.191970199545363,9.88565810492423,0.215481087724704,36,35,38,36,36.25,37,0.857142857142857,0.833333333333333,0.904761904761905,0.857142857142857
"Birkenhead",0.193606670901897,0.193606670901897,9.72060316491381,0.218675067890877,37,37,37,37,37,38,0.880952380952381,0.880952380952381,0.880952380952381,0.880952380952381
"Birkenhead",0.236837954964741,0.235407875961627,11.9984993058738,0.257898965085083,39,39,39,39,39,39,0.928571428571429,0.928571428571429,0.928571428571429,0.928571428571429
